rest name,address,price,star,reviews count,class,author,from,elite,author friends,author reviews,author photos,join date,author useful votes,author funny votes,author cool votes,rating_distribution_5,rating_distribution_4,rating_distribution_3,rating_distribution_2,rating_distribution_1,review text,review date,review rating,totalPhotos,useful,funny,cool,isUpdated,businessOwnerReplies,businessOwnerRepliesdate,photo_1 link,photo_2 link,photo_3 link,photo_4 link,photo_5 link,photo_6 link,photo_7 link,photo_8 link,photo_9 link,photo_10 link
Bobby Q,"8501 N 27th Ave
Phoenix, AZ 85051
",$$,4.5,4201,Barbeque-American (New),Keilah H.,"Sacramento, CA",2022,11,67,58,October 2015,65,13,14,37,10,7,4,9,"This place is incredible! I live in Scottsdale &amp; honestly I&#39;m a little weary about the Phoenix area so it&#39;s really rare that I even come out here but when I saw this place online I knew I had to make the trip &amp; check it out.<br><br>Where do I begin? This place reminds me of a fancy renovated barn. It&#39;s nestled in a hidden parking lot surrounded by beautiful trees. It looked like a little oasis with the misters on outside &amp; string lights. They also have a cute little American truck outside you can take pics with!<br><br>The mood inside the restaurant was just right with a very prestine atmosphere, dim lighting, and an OFF THE CHARTS playlist with amazing country &amp; classic rock hits. I definitely enjoyed singing along while eating their incredible house made sweet hot cornbread. Definitely some of the best cornbread I ever had. The booths seated along the windows are my fave.<br><br>Now for the best part, THE FOOD. My man &amp; I shared the chicken fried chicken with mashed potatoes &amp; an extra side of mac n cheese. Everything was perfect! These chefs really know what they are doing. The chicken was so tender like butter and fried to perfection, so crispy. Not too hard, not too soft it was just right! I loved how the mashed potatoes were made mixed in with the skin, those r my favorite kind. The gravy was incredible and the Mac n cheese OMG! Amazing!! Everything was so hot &amp; fresh.<br><br>Our waiter Harrison was delightful. He was very knowledgeable about the restaurant, menu &amp; how the meats are prepared &amp; cooked. He got our order in &amp; brought it out in a timely fashion, and came back to check on us often. Upon leaving there were about 5 different employees all telling us to have a great night &amp; thanks for coming in. All very eager to wish us well. Very fine service!!!<br><br>I love this place and will definitely be back!! :)",8/19/2022,5,1,2,0,0,False,False,,https://s3-media0.fl.yelpcdn.com/bphoto/L9rRSmsw7850s9cg7MuOVg/o.jpg,,,,,,,,,
Bobby Q,"8501 N 27th Ave
Phoenix, AZ 85051
",$$,4.5,4201,Barbeque-American (New),Sylvia O.,"Stockton, CA",2022,72,140,222,January 2009,286,92,169,64,47,14,12,3,"Winner winner BBQ dinner! Drove into town for a volleyball tournament and wanted to eat some BBQ in Phoenix. <br><br>Bobby Q did not disappoint!!! First of all, the complementary corn bread was freak&#39;n delicious. It was soft, moist, and fluffy, if that&#39;s even possible, almost like cornbread cake. <br><br>My boyfriend ordered the Smoked Jumbo Texas Beef Ribs. Oh my lanta those ribs are incredibly tender and flavorful. I wish we ordered a second plate lol. I ordered the meatloaf (only available on Thursdays) which was also really good. Portions are big enough to bring leftovers home for another meal. <br><br>End your meal with complimentary homemade sugar donuts!",6/14/2022,5,2,1,0,1,False,False,,https://s3-media0.fl.yelpcdn.com/bphoto/KcBRMuR8ue20VIGQUQhOfA/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/XB-BIH04s1uNFLw_PV6xog/o.jpg,,,,,,,,
Bobby Q,"8501 N 27th Ave
Phoenix, AZ 85051
",$$,4.5,4201,Barbeque-American (New),Lisa M.,"Fountain Valley, CA",2022,181,365,813,July 2011,244,28,82,211,108,30,8,8,Great bbq in a not so great part of town. But don&#39;t let that stop you. Big parking lot and a popular place that attests to its good food. Reservations are on Yelp. We shared a three meat platter but only ordered two meats: Beef rib and double brisket and chose Mac and cheese and beans.  We had their cornbread as a starter and asked for more. The beef rib was soooo good and had a wonderfully rich flavor. The brisket was a good smoky flavor and very tender. Mac and cheese was yummy but the beans were a little crunchy although the flavor was great. I asked to try both the spicy and sweet bbq sauce. Both were good but I like the spicy more! Our server was Dustin and he was great!  But he wasn&#39;t alone. The restaurant staff seemed to work as a team with everyone happy to help. Very impressed.,7/21/2022,5,1,1,0,0,False,False,,https://s3-media0.fl.yelpcdn.com/bphoto/9hsu1ErLWmEjscGPb8Uv5g/o.jpg,,,,,,,,,
Bobby Q,"8501 N 27th Ave
Phoenix, AZ 85051
",$$,4.5,4201,Barbeque-American (New),Liz P.,"Clawson, MI",2022,953,2147,8779,May 2011,8894,2312,5929,638,1185,284,28,12,"I went here with some friends tonight - I&#39;m in Phoenix for work and they both live in Phoenix. One of them liked the BBQ here so we decided to try it.<br><br>Ironically, I thought all of the food here was fantastic except my pulled pork sandwich was lacking. We started off with the Q rolls, which are rolls stuffed with brisket, and we also had fried zucchini, which was delicious. The zucchini was kind of thin, which I&#39;ve never seen before with fried zucchini. and it came with what looked to be a homemade ranch sauce. <br><br>I also ordered the pineapple drink for my cocktail which was very delicious, and my friends got a Mai Tai and a sangria.<br><br>The restaurant also provides complimentary cornbread and it was fantastic, it was more of like a cornbread cake and it came with butter. Our waitress actually brought us a second helping of this because we all loved it so much.<br><br>For my meal, I got the pulled pork sandwich with mashed potatoes. You are allowed to choose one side and they have many to choose from. There was not much sauce on the pulled pork and I thought it was fine but nothing special. The mashed potatoes were very creamy and delicious though. It also came with a pickle. My friends got a half rack of baby back ribs as well as the pulled pork plate, and it looked like she had more sauce on her pulled pork versus my sandwich.<br><br>Waitservice was also good. The reason this place gets four stars for me and not five is because prices are pretty high, my sandwich was $17 and our appetizers were 14 to $15. Plates range from like $23 to $29. The other reason is what I said previously, I feel like a barbecue place should have great barbecue and my sandwich was just okay.<br><br>That being said, everything else we ate here was fantastic so I would return when in town. I forgot to mention that the waitress surprised us with two complimentary orders of their mini donuts for us to take home, as well; I ate one while it was hot and fresh, at the restaurant, and it was delicious.",3/28/2022,4,10,9,1,6,False,False,,https://s3-media0.fl.yelpcdn.com/bphoto/mj7KvnCToVCTTT7k6Gx0Og/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/g6sGe8ljvnTvmo6O9Fk1rQ/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/KsW0cXQZf4tJ6Krax6IRtQ/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/fVrESZJvnLtiDKf4g7axhw/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/uSEpm33SQoF_NtPfBiwMCA/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/JCugWE3XR-tBKeID3-mw1A/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/EiinbER-sDhgkbVNQju-UA/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/v4RgYgGfOuWhAUBx_zSFwQ/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/62tUeyYJozwoZRBoVAF9cw/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/DxqSCaXY-_KuPx44CEC9gA/o.jpg
Bobby Q,"8501 N 27th Ave
Phoenix, AZ 85051
",$$,4.5,4201,Barbeque-American (New),Lee D.,"Alameda, CA",2022,61,704,7296,September 2021,2012,502,1866,240,327,118,17,2,"1/16/22<br><br>Quality/Quantity -<br>Whole Hog Heaven - Beef Ribs, Baby Back Ribs, Beef Brisket, Shredded Pork<br>Beer Fries, Pecan ColeSlaw, Mac &amp; Cheese.<br>Upgraded to Beer Fries for $1.50 more - worth it!<br>Southern Fried Chicken<br>Free Corn Bread - some of the best cornbread we have had.<br>Free Donuts - make sure you ask for them! They can forget to give it to customers at the end of the meal.<br><br>They also have a gluten free menu.<br>Cocktail menu.<br>M-F daily specials.<br>Catering.<br><br>Atmosphere -<br>This place is HUGE.<br>Happier Hour M-F 2 to 5pm - look forward to trying it in the future.<br>Inside and outside seating.<br>Cool Decor inside and outside.<br>Easy private parking.<br><br>Additionally, offers the following private parties: corp luncheons, holiday parties, birthdays, anniversaries, weddings, rehearsal dinners, etc<br><br>Service -<br>Not sure if Claudia was new, but she did a good job.<br>Accommodated all our requests.<br>Came back often to check on us.<br>Anything she could not answer, she asked her other team members.<br>Also, another person came by often to refill our waters.<br><br>Price - $106.43 + Tip.<br><br>Owner Suggestion - Congrats on your 3 locations and your success since 2005.  What a great history from your restaurant and entrepreneur starting at 15 years of age.<br><br>Btw, the Happier sign in your restaurant reads 2-5pm, but on your receipt it states 2-6pm.<br>Also on your website it has different Happy Hour info on the same web page???<br>Bar &amp; Patio Only<br>M-F 3-6pm and M-F 2-5pm<br>Very confusing.",2/7/2022,4,19,2,0,2,False,False,,https://s3-media0.fl.yelpcdn.com/bphoto/6bQI4pF5AlUvHowkX4QvhQ/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/VtjbEHpjANE2kk86lsOmuw/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/iRpPIc9cTfy5sDvOZZbC8g/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/wBxZ_11BQHr4XiA1y2PvxQ/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/ddsu4fdva5P-EiXNb_Qywg/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/q4R3OXKd8O4P17uvcKqSOA/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/t0foIjdbNuPdXztQhdfl_A/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/36aMndH1Gl_ydy2NGRqQKQ/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/P_FkOzRCymMJfBBS0OmTrw/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/cCWaQfehU9a7gX5y-x7dag/o.jpg
Bobby Q,"8501 N 27th Ave
Phoenix, AZ 85051
",$$,4.5,4201,Barbeque-American (New),Diko K.,"Los Angeles, CA",,2,17,29,,14,1,11,12,2,3,0,0,"I&#39;ve travelled to more than half of the US states and this place has one of the top ribs compared to anywhere else I&#39;ve been. <br><br>The positive review will start from the name of the place because it&#39;s extremely clever. <br><br>We tried the ribs and some of everything on the menu. The ribs, brisket, and sausages were just some of the items we tried. Very nice design as well.",5/30/2022,5,2,3,0,4,False,False,,https://s3-media0.fl.yelpcdn.com/bphoto/RbnnGIFdvLEq5GhpQ7BhSA/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/p7YQNosPazBqq0AAm3w3rA/o.jpg,,,,,,,,
Bobby Q,"8501 N 27th Ave
Phoenix, AZ 85051
",$$,4.5,4201,Barbeque-American (New),Megan T.,"San Diego, CA",2022,12,82,72,September 2015,42,5,13,56,11,6,2,7,"AMAZING FOOD!! Fast service, our waitress Ellie was awesome- always checking on us. But wow, the food was so good. I&#39;m not a meat person so I got the BBQ chicken salad (&amp; it was so tasty!!) but my boyfriend and my dad both chose the &#34;pick 3 meats&#34; they loved it. I especially loOOooOved the complimentary cornbread &amp; doughnuts at the beginning &amp; end!! So fresh &amp; so delicious! Amazing experience overall! Highly highly recommend! Thank you again Ellie for being an awesome waitress ! :)",5/28/2022,5,1,1,0,1,False,False,,https://s3-media0.fl.yelpcdn.com/bphoto/O5RpUNA8TUxSG5XRPt_jzg/o.jpg,,,,,,,,,
Bobby Q,"8501 N 27th Ave
Phoenix, AZ 85051
",$$,4.5,4201,Barbeque-American (New),Rashi T.,"Portland, OR",2022,193,650,2022,January 2015,5526,1214,4412,222,283,126,16,3,"This place deserves nothing less than 5 stars .What an experience and we couldn&#39;t have come at a better day as the two of us were starving after a day of hiking and roaming around in the sun . I want to first preface by saying that this is not a place you come with a half empty stomach because you would regret not eating more.<br>The secret behind Bobby Q&#39;s barbeque lies within the slow cooking process over Tennessee hickory wood paired with the perfect blend of spices such as the special dry rub .The result is succulent hand-pulled pork, smoky sausage links, fork-tender brisket, and ribs that fall right off the bone. Three different ribs are offered (St. Louis, Texas, and baby back) as well as chicken, salmon, burgers, and hand-cut steaks. The sides are a great accompaniment, but the meat is the show stopper here. I was not a fan of the Mac and cheese but everything else was top-notch. We finished our meal with the ginormous sized Mud pie and couldn&#39;t finish the whole thing even though we really tried. The service was top-notch, and they even gave us a bag of fresh fried donuts, dusted with cinnamon sugar on the house. Pricing was extremely reasonable for the amount and quality of food.<br>The restaurant itself is huge and has a charmingly-rustic vibe and features reclaimed woodwork with exposed brick walls, antique gas lamps, and tall vintage French doors. The outdoor patio was such a nice-cute space but we were too hungry to wait for a seat outside so we settled for the inside seating .",5/10/2022,5,2,17,2,15,False,False,,https://s3-media0.fl.yelpcdn.com/bphoto/7GzXvaFYhHf2w7vZ-rVLxw/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/lcaBsdmaSyRn0rrlk1LLdg/o.jpg,,,,,,,,
Bobby Q,"8501 N 27th Ave
Phoenix, AZ 85051
",$$,4.5,4201,Barbeque-American (New),Michelle O.,"Oceanside, CA",2022,27,121,1475,October 2015,287,82,189,75,25,8,8,5,This restaurant was really good. They handled our party of 15 flawlessly. We had 2 servers that were on top of everything. They were so nice!<br><br>The food was so good. I got the three meat combo. The chicken was tender and juicy and the brisket was so tender. I would recommend this restaurant and I will definitely be coming back here when I&#39;m back in AZ.,11/23/2021,5,5,1,2,2,False,False,,https://s3-media0.fl.yelpcdn.com/bphoto/HrulzYVpLxbCOPGSavi6Ow/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/vrRcFZCATZLinXow2XYGwA/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/XoMqNdetkMtOneofBsKP7A/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/k2TsAUwybDbKQZZLFhw8Hw/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/p0nmcVXhb-p-NazrHuVwZQ/o.jpg,,,,,
Bobby Q,"8501 N 27th Ave
Phoenix, AZ 85051
",$$,4.5,4201,Barbeque-American (New),Georgie M.,"Menifee, CA",2022,3305,1811,13057,July 2010,42971,25922,39166,463,757,419,126,46,"Okay, I can now die in peace. <br><br>For my eyes (and stomach) have feasted upon the table of plenty, here at Booby Q&#39;s!<br><br>The three of us came here one Wednesday evening and thank God we had reservations. The hostess told someone who waltz&#39;d in, that it was over an hours or so wait time. LOL<br><br>So why the long wait? The food here is amazing.  It&#39;s as good as anything I&#39;ve ever had in KC, Memphis, Texas or the south-side of Chicago.  Though admittedly, I am very partial to Dreamland in Mobile, AL. <br><br>You can argue over dry rub, or wet rub, but in end it&#39;s only the finished brisket or ribs that we should care about and Bobby Q&#39;s does it, oh so well. <br><br>We had Brisket Q-Rolls, Onion Brick, Burgers, Baby Back Ribs, Mud Pie and more. Everything was delicious. <br><br>Expect to spend $25 to $40 each, depending upon what extras you get and how thirty you are. <br><br>Enjoy!",10/21/2021,5,10,28,14,30,False,False,,https://s3-media0.fl.yelpcdn.com/bphoto/cpiKBHqe3guNKJaCbYyDTw/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/yUcRD9u9lNvTVYinOIh1Ig/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/SiS-73dLstfBBu6LxeFS8w/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/fz4ufBKNaRhpnI5rgIA6sg/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/aEjrFDw5Hpplmytm4cLzeQ/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/ymhDN_5x4QDPOzt2D2Vg7A/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/MMkKSPTuBscYZVf7UdvIdg/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/b6sVIzw8xksBGYnHtwSJ8g/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/FBpoEFnfgR0j-bi2QzCv7g/o.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/vJKv_jXQr4TWKhPyDJkAsA/o.jpg
